Index 103, 2023-08-02 00:00:00, -1, 192.58
Index 104, 2023-08-03 00:00:00, -1, 191.17
Index 105, 2023-08-04 00:00:00, -1, 181.99
Index 106, 2023-08-07 00:00:00, -1, 178.85
Index 107, 2023-08-08 00:00:00, -1, 179.8
Index 108, 2023-08-09 00:00:00, 1, 178.19
Index 109, 2023-08-10 00:00:00, 1, 177.97
Index 110, 2023-08-11 00:00:00, 1, 177.79
Index 111, 2023-08-14 00:00:00, -1, 179.46
Index 112, 2023-08-15 00:00:00, 1, 177.45
Index 113, 2023-08-16 00:00:00, 1, 176.57
Index 114, 2023-08-17 00:00:00, 1, 174.0
Index 115, 2023-08-18 00:00:00, 1, 174.49
Index 116, 2023-08-21 00:00:00, 1, 175.84
Index 117, 2023-08-22 00:00:00, 1, 177.23
Index 118, 2023-08-23 00:00:00, 1, 181.12
Index 119, 2023-08-24 00:00:00, 1, 176.38
Index 120, 2023-08-25 00:00:00, 1, 178.61
Index 121, 2023-08-28 00:00:00, 1, 180.19
Index 122, 2023-08-29 00:00:00, 1, 184.12
Index 123, 2023-08-30 00:00:00, 1, 187.65
Index 124, 2023-08-31 00:00:00, -1, 187.87
Index 125, 2023-09-01 00:00:00, -1, 189.46
Index 126, 2023-09-05 00:00:00, -1, 189.7
Index 127, 2023-09-06 00:00:00, -1, 182.91
Index 128, 2023-09-07 00:00:00, 1, 177.56
Index 129, 2023-09-08 00:00:00, -1, 178.18
Index 130, 2023-09-11 00:00:00, -1, 179.36
Index 131, 2023-09-12 00:00:00, 1, 176.3
Index 132, 2023-09-13 00:00:00, 1, 174.21
Index 133, 2023-09-14 00:00:00, 1, 175.74
Index 134, 2023-09-15 00:00:00, 1, 175.01
Index 135, 2023-09-18 00:00:00, -1, 177.97
Index 136, 2023-09-19 00:00:00, -1, 179.07
Index 137, 2023-09-20 00:00:00, -1, 175.49
Index 138, 2023-09-21 00:00:00, 1, 173.93
Index 139, 2023-09-22 00:00:00, 1, 174.79
Index 140, 2023-09-25 00:00:00, 1, 176.08
Index 141, 2023-09-26 00:00:00, 1, 171.96
Index 142, 2023-09-27 00:00:00, 1, 170.43
Index 143, 2023-09-28 00:00:00, 1, 170.69
Index 144, 2023-09-29 00:00:00, 1, 171.21
Index 145, 2023-10-02 00:00:00, 1, 173.75
Index 146, 2023-10-03 00:00:00, 1, 172.4
Index 147, 2023-10-04 00:00:00, 1, 173.66
Index 148, 2023-10-05 00:00:00, 1, 174.91
Index 149, 2023-10-06 00:00:00, 1, 177.49
Index 150, 2023-10-09 00:00:00, -1, 178.99
Index 151, 2023-10-10 00:00:00, 1, 178.39
Index 152, 2023-10-11 00:00:00, -1, 179.8
Index 153, 2023-10-12 00:00:00, -1, 180.71
Index 154, 2023-10-13 00:00:00, -1, 178.85
Index 155, 2023-10-16 00:00:00, -1, 178.72
Index 156, 2023-10-17 00:00:00, -1, 177.15
Index 157, 2023-10-18 00:00:00, -1, 175.84
Index 158, 2023-10-19 00:00:00, 1, 175.46
Index 159, 2023-10-20 00:00:00, 1, 172.88
Index 160, 2023-10-23 00:00:00, 1, 173.0
Index 161, 2023-10-24 00:00:00, 1, 173.44
Index 162, 2023-10-25 00:00:00, 1, 171.1
Index 163, 2023-10-26 00:00:00, 1, 166.89
Index 164, 2023-10-27 00:00:00, 1, 168.22
Index 165, 2023-10-30 00:00:00, 1, 170.29
Index 166, 2023-10-31 00:00:00, 1, 170.77
Index 167, 2023-11-01 00:00:00, 1, 173.97
Index 168, 2023-11-02 00:00:00, 1, 177.57
